Sample,Transect.ID,Individual ID,Year,Site,VisitNumber,Lat,Long,Collected,Transect,NetorPan,DateCollected,Type,SpeciesCode,GenusCode,Sex,RNA conc.,Virus_Type,Virus,Richness,EstRich_Asyp,EstRich_46,EstRich_183,EstRich_338,Abundance,Diversity,APME_ABUND,BOIM_ABUND,LASI_ABUND,PEPR_ABUND
1363,BC15C3,BC15C3P-109,2015,BC,2,42.35073,-83.8556,squash,C,Pan,8/2/2015,NON,LASI,LASI,F,21,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1406,BC15D3,BC15D3P-152,2015,BC,2,42.35073,-83.8556,flowers,D,Pan,8/2/2015,NON,LASI,LASI,F,40.3,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
607,BC15B2,BC15B2N-18,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,APIS,APME,APIS,F,98,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1255,BC15A3,BC15A3N-1,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1270,BC15A3,BC15A3N-16,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,APIS,APME,APIS,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1273,BC15A3,BC15A3N-19,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,APIS,APME,APIS,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1281,BC15B3,BC15B3N-27,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1282,BC15B3,BC15B3N-28,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1306,BC15C3,BC15C3N-52,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1311,BC15C3,BC15C3N-57,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
